step no.,uptime,x,y,z,u,v,w,p,q,r,p_m,q_m,r_m,p_t,q_t,r_t,lm_p,lm_q,lm_r
56,10.875176426954567,-0.0142404431118385,0.000280178198203402,-0.0641543209864768,0.0626348081907551,0.0208744734457056,0.0567051388254682,0.249994932035855,-0.0948989455525086,0.249994485039598,0.0,-0.0,-0.2900000214576721,0.249994932035855,-0.0948989455525086,0.0904960725765135,0.0500050679641453,0.394898945552509,0.549994485039598
57,11.084970138967037,0.00918800390172804,-0.0137925221971489,-0.0444411735750557,0.149363996779363,-0.00743055125530540,0.133641215359609,0.249995090875628,-0.0567121514634994,0.249994647090273,0.0,-0.0,-0.2900000214576721,0.249995090875628,-0.0567121514634994,0.0904961876324893,0.0500049091243721,0.356712151463499,0.549994647090273
58,11.287304250057787,0.0170994364401301,-0.0376959771623175,-0.0448344458627275,0.108776896133075,-0.0498448732653754,0.0788603172292811,0.249994618117263,0.0464045263844987,0.249994198941507,0.0,-0.0,-0.2900000214576721,0.249994618117263,0.0464045263844987,0.0904958694468750,0.0500053818827366,0.253595473615501,0.549994198941507
59,11.48235104396008,0.0533314730922819,-0.0750900256989666,-0.0248150348077135,0.200484787089348,-0.111443276541709,0.135886040491581,0.249994795125245,0.209143826884312,0.249994464085925,0.0,-0.0,-0.2900000214576721,0.249994795125245,0.209143826884312,0.0904960576994057,0.0500052048747554,0.0908561731156881,0.549994464085925
60,11.699798985035159,0.0644387132394096,-0.105291832953619,-0.0278653927175569,0.162798843765150,-0.143180326140036,0.0847315112589698,0.249994337422886,0.249998331384039,0.249994093743021,0.0,-0.0,-0.2900000214576721,0.249994337422886,0.249998331384039,0.0904957947559517,0.0500056625771141,0.0500016686159613,0.549994093743021
61,11.866696811979637,0.0900455730895805,-0.155090397814024,-0.0155620164402213,0.169094455858373,-0.184760386625624,0.104723100980425,0.249994472325389,0.249999920288830,0.249994244833405,0.0,-0.0,-0.2900000214576721,0.249994472325389,0.249999920288830,0.0904959020301214,0.0500055276746111,0.0500000797111698,0.549994244833405
62,12.092383963987231,0.107272790962984,-0.195448673354937,-0.0151189044220155,0.163538838895805,-0.199182343510143,0.0773289531197624,0.249994399383928,0.249997830592148,0.249994158692426,0.0,-0.0,-0.2900000214576721,0.249994399383928,0.249997830592148,0.0904958408700281,0.0500056006160720,0.0500021694078517,0.549994158692426
63,12.266067023039795,0.147234994199298,-0.254727533071831,-0.000559603239955461,0.219106540215124,-0.220304950940501,0.112268813085664,0.249994411068838,0.249997800480758,0.249994232001358,0.0,-0.0,-0.2900000214576721,0.249994411068838,0.249997800480758,0.0904958929193682,0.0500055889311620,0.0500021995192423,0.549994232001358
64,12.480615786043927,0.169152632444511,-0.294175964347420,-0.00206444191782930,0.206221491542511,-0.213963835987396,0.0759621490508846,0.249995729749327,0.249983344635515,0.249996101918244,0.0,-0.0,-0.2900000214576721,0.249995729749327,0.249983344635515,0.0904972205603169,0.0500042702506727,0.0500166553644854,0.549996101918244
65,12.676317287958227,0.211171782572972,-0.339119375710033,0.0107334008487966,0.266034561196502,-0.211172190507714,0.111773109981950,0.249995721631365,0.249983372809080,0.249996035084320,0.0,-0.0,-0.2900000214576721,0.249995721631365,0.249983372809080,0.0904971731082329,0.0500042783686351,0.0500166271909201,0.549996035084320
66,12.875995901995338,0.239354255454736,-0.378850994540805,0.00967938457788397,0.232454253519560,-0.188149707232927,0.0738840607652913,0.249996056475758,0.249979683885123,0.249996220466999,0.0,-0.0,-0.2900000214576721,0.249996056475758,0.249979683885123,0.0904973047299306,0.0500039435242416,0.0500203161148772,0.549996220466999
67,13.085831586038694,0.293429001500333,-0.424719524283346,0.0253768172010808,0.321730818997446,-0.204479071844992,0.123796996127192,0.249995926809965,0.249983252767056,0.249996137289588,0.0,-0.0,-0.2900000214576721,0.249995926809965,0.249983252767056,0.0904972456739708,0.0500040731900347,0.0500167472329441,0.549996137289588
68,13.277306445990689,0.327017325970273,-0.463071970576877,0.0243415762129351,0.273131821616197,-0.180380191342330,0.0788538328694343,0.249993906863937,0.249998367585859,0.249994011707204,0.0,-0.0,-0.2900000214576721,0.249993906863937,0.249998367585859,0.0904957365105238,0.0500060931360626,0.0500016324141414,0.549994011707204
69,13.475116029032506,0.381653483303096,-0.510449366502630,0.0402152023329193,0.336254068174493,-0.206576816282141,0.126767255821359,0.249996084113924,0.249979537694594,0.249996176678880,0.0,-0.0,-0.2900000214576721,0.249996084113924,0.249979537694594,0.0904972736403673,0.0500039158860755,0.0500204623054055,0.549996176678880
70,13.671774349058978,0.420094372091628,-0.549466173976337,0.0404691218281177,0.296312427808525,-0.185207926939247,0.0843817877666969,0.249996194395012,0.249992523642376,0.249996273983840,0.0,-0.0,-0.2900000214576721,0.249996194395012,0.249992523642376,0.0904973427268866,0.0500038056049880,0.0500074763576244,0.549996273983840
71,13.8980389010394,0.466920073753198,-0.594842509747786,0.0490550669903172,0.314798185853165,-0.203973104925949,0.102172749368351,0.249994018892137,0.249997843847295,0.249994055852925,0.0,-0.0,-0.2900000214576721,0.249994018892137,0.249997843847295,0.0904957678539847,0.0500059811078634,0.0500021561527049,0.549994055852925
72,14.075624883989803,0.505400857693060,-0.632380611139457,0.0450989956724167,0.253787742883481,-0.146983755796634,0.0589602132817281,0.249996188707774,0.249991222014315,0.249996239783122,0.0,-0.0,-0.2900000214576721,0.249996188707774,0.249991222014315,0.0904973184443779,0.0500038112922256,0.0500087779856854,0.549996239783122
73,14.267208792967722,0.555375990041879,-0.670491962848281,0.0606123779281906,0.321776403828400,-0.172388569668991,0.119246854229706,0.249994002847656,0.249998341234735,0.249994019120859,0.0,-0.0,-0.2900000214576721,0.249994002847656,0.249998341234735,0.0904957417742188,0.0500059971523441,0.0500016587652651,0.549994019120859
74,14.467976644984446,0.596081885831659,-0.705115042972951,0.0568132182871392,0.297220513905610,-0.156380250368987,0.0680487833276640,0.249996253959054,0.249992208118062,0.249996280096996,0.0,-0.0,-0.2900000214576721,0.249996253959054,0.249992208118062,0.0904973470672275,0.0500037460409460,0.0500077918819382,0.549996280096996
75,14.673333666985855,0.652554865800094,-0.750197094868334,0.0721648887856634,0.351055543237683,-0.192825381344798,0.124609048777577,0.249996184243226,0.249992352772793,0.249996188463855,0.0,-0.0,-0.2900000214576721,0.249996184243226,0.249992352772793,0.0904972820076993,0.0500038157567738,0.0500076472272065,0.549996188463855
76,14.881570114055648,0.695864692096381,-0.785594926419464,0.0681063635836216,0.318493320368074,-0.167393998481489,0.0693056031538475,0.249994086002318,0.249998787191293,0.249994002515302,0.0,-0.0,-0.2900000214576721,0.249994086002318,0.249998787191293,0.0904957299842734,0.0500059139976823,0.0500012128087068,0.549994002515302
77,15.083777943975292,0.748453390555917,-0.821968523977238,0.0820467023793604,0.341392516877942,-0.161595910999484,0.119042329278283,0.249994109702103,0.249998732484240,0.249993990465675,0.0,-0.0,-0.2900000214576721,0.249994109702103,0.249998732484240,0.0904957214290384,0.0500058902978973,0.0500012675157598,0.549993990465675
78,15.274167960043997,0.792760025929412,-0.855292940372356,0.0767530439487668,0.314897355789941,-0.146019625311095,0.0622368028188760,0.249994115619742,0.249998704132012,0.249993984376596,0.0,-0.0,-0.2900000214576721,0.249994115619742,0.249998704132012,0.0904957171057924,0.0500058843802581,0.0500012958679878,0.549993984376596
